Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
3,"August 16, 2026",08/16/2026 at 1:39 AM,08/16/2026 at 1:39 AM,2026,Trespass,Trespassing,Delmar Blvd,Delmar Blvd,"Delmar Blvd, St. Louis, MO",Subject with no WASHU affiliation located on WASHU property.,Exceptional Clearance,260278,28516,,,,,,,,,,,,
3,"August 11, 2026",08/11/2026 at 1:24 PM,08/11/2026 at 1:24 PM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,Forest Park Pkwy,Forest Park Pkwy,"Forest Park Pkwy, St. Louis, MO",Assisted SLMPD with leaving the scene of an auto accident.,Referred to SLMPD,26-08-11-031069,28453,,,,,,,,,,,,
3,"August 9, 2026",08/09/2026 at 2:11 PM,08/09/2026 at 2:11 PM,2026,Trespass,Trespassing,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260268,28514,,,,,,,,,,,,
3,"August 7, 2026",08/11/2026 at 8:04 AM,08/07/2026 at 5:00 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Simon Hall,Simon Hall,"Simon Hall, Washington University in St. Louis, MO",Complainant reports theft of golf cart.,Property Recovered,260272,28451,,,,,,,,,,,,
3,"August 2, 2026",08/02/2026 at 1:23 PM,08/02/2026 at 1:23 PM,2026,Trespass,Trespassing,Fontbonne University,Fontbonne,"6800 Wydown Blvd, St. Louis, MO 63105",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260266,28429,,,,,,,,,,,,
3,"July 28, 2026",07/28/2026 at 9:42 PM,07/28/2026 at 9:42 PM,2026,Trespass,Trespassing,Bauer Hall,Bauer Hall,"Bauer Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260259,28424,,,,,,,,,,,,
3,"July 27, 2026",07/29/2026 at 7:04 AM,07/27/2026 at 3:27 PM,2026,Simple Assault,Assault,Eliot B House,Eliot B House,"Eliot B House, Washington University in St. Louis, MO",Disturbance resulted in assault.,Active,260261,28426,,,,,,,,,,,,
3,"July 23, 2026",07/23/2026 at 4:52 PM,07/23/2026 at 3:43 PM,2026,Larceny,Larceny,Mallinckrodt Center,Mallinckrodt Center,"Mallinckrodt Center, Washington University in St. Louis, MO",Complainant reports theft of money.,Active,260253,28418,,,,,,,,,,,,
4,"July 23, 2026",07/24/2026 at 3:54 PM,07/23/2026 at 9:30 AM,2026,Harassment,Harassment,Jubel Hall,Jubel Hall,"Jubel Hall, Washington University in St. Louis, MO",Complainant reports concerning communication.,Active,260256,28413,,,,,,,,,,,,
4,"July 22, 2026",07/22/2026 at 9:13 AM,07/22/2026 at 9:13 AM,2026,Burglary,Burglary,Waterman Blvd,Waterman Blvd,"Waterman Blvd, St. Louis, MO",Assisted SLMPD with a burglary.,Referred to SLMPD,26-07-22-028461,28407,,,,,,,,,,,,
4,"July 20, 2026",07/20/2026 at 7:18 PM,07/20/2026 at 7:18 AM,2026,Burglary,Burglary,Waterman Blvd,Waterman Blvd,"Waterman Blvd, St. Louis, MO",Assisted SLMPD with a burglary.,Referred to SLMPD,26-07-20-028150,28405,,,,,,,,,,,,
4,"July 17, 2026",07/17/2026 at 9:29 PM,07/17/2026 at 9:29 PM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,Big Bend Blvd,Big Bend Blvd,"Big Bend Blvd, St. Louis, MO",Assisted UCPD with leaving the scene of an auto accident.,Referred to UCPD,26-07-17-027903,28399,,,,,,,,,,,,
4,"July 17, 2026",07/22/2026 at 10:28 AM,07/17/2026 at 9:00 AM,2026,Larceny,Larceny,Bauer Hall,Bauer Hall,"Bauer Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260251,28402,,,,,,,,,,,,
4,"July 15, 2026",07/15/2026 at 11:31 PM,07/15/2026 at 9:56 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260246,28361,,,,,,,,,,,,
4,"July 14, 2026",07/14/2026 at 3:52 PM,07/14/2026 at 3:52 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260244,28359,,,,,,,,,,,,
4,"July 13, 2026",07/13/2026 at 7:47 PM,07/13/2026 at 7:16 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260243,28357,,,,,,,,,,,,
4,"July 9, 2026",07/13/2026 at 7:18 PM,07/09/2026 at 10:00 AM,2026,Larceny,Larceny,Whitaker Hall,Whitaker Hall,"Whitaker Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260242,28354,,,,,,,,,,,,
4,"July 7, 2026",07/07/2026 at 7:16 PM,07/07/2026 at 7:16 PM,2026,Larceny,Larceny,Washington Ave,Washington Ave,"Washington Ave, St. Louis, MO",Assisted UCPD with a larceny,Referred to UCPD,26-07-07-026540,28345,,,,,,,,,,,,
