Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
22,"October 17, 2025",10/17/2025 at 7:14 PM,10/17/2025 at 5:45 PM,2025,Larceny,Larceny,South 40,South 40,"6618 Shepley Dr, Clayton, MO 63105",Complainant reports theft of food.,Inactive,250483,26889,,,,,,,,,,,,
22,"October 14, 2025",10/14/2025 at 9:24 AM,10/14/2025 at 9:24 AM,2025,Larceny,Larceny,Knight Center,Knight Center,"Knight Center, Washington University in St. Louis, MO",Complainant reports theft of personal items.,Active,250478,26887,,,,,,,,,,,,
22,"October 11, 2025",10/11/2025 at 3:10 AM,10/11/2025 at 12:49 AM,2025,Property Destruction,Property Destruction,Snow Way Garage,Snow Way Garage,"Snow Way Garage, Washington University in St. Louis, MO",Subject broke gate arm.,Referred to Judicial,250475,26850,,,,,,,,,,,,
22,"October 10, 2025",10/10/2025 at 6:56 PM,10/10/2025 at 6:56 PM,2025,Trespass,Trespassing,McKelvey Hall,McKelvey Hall,"McKelvey Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250471,26852,,,,,,,,,,,,
22,"October 8, 2025",10/08/2025 at 6:52 PM,10/08/2025 at 6:52 PM,2025,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of shoes.,Inactive,250467,26848,,,,,,,,,,,,
22,"October 3, 2025",11/03/2025 at 12:32 PM,10/03/2025 at 12:00 PM,2025,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of food.,Inactive,250519,26974,,,,,,,,,,,,
22,"October 1, 2025",10/01/2025 at 1:02 PM,10/01/2025 at 1:02 PM,2025,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of money.,Inactive,250458,26834,,,,,,,,,,,,
22,"October 1, 2025",10/01/2025 at 8:32 AM,10/01/2025 at 2:32 AM,2025,Motor Vehicle Theft,Stolen Vehicle,Lee Dorm,Lee Dorm,"Lee Dorm, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Referred To Judicial,250460,26838,,,,,,,,,,,,
22,"September 29, 2025",09/29/2025 at 3:53 PM,09/29/2025 at 1:00 PM,2025,Larceny,Larceny,Village East,Village East,"Village East, Washington University in St. Louis, MO",Complainant reports theft of bike.,Inactive,250459,26836,,,,,,,,,,,,
23,"September 28, 2025",09/28/2025 at 8:01 PM,09/28/2025 at 5:20 PM,2025,Larceny,Larceny,Brauer Hall,Brauer Hall,"Brauer Hall, Washington University in St. Louis, MO",Complainant reports theft of financial instruments.,Active,250450,26789,,,,,,,,,,,,
23,"September 28, 2025",09/29/2025 at 3:19 PM,09/28/2025 at 3:30 PM,2025,Larceny,Larceny,Brauer Hall,Brauer Hall,"Brauer Hall, Washington University in St. Louis, MO",Complainant reports theft of wallet.,Active,250452,26792,,,,,,,,,,,,
23,"September 26, 2025",09/26/2025 at 7:51 PM,09/26/2025 at 6:40 PM,2025,Sexual Assault,Sexual Assault,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports non-consensual incident.,Closed,250446,26761,,,,,,,,,,,,
23,"September 25, 2025",09/28/2025 at 1:36 PM,09/25/2025 at 12:00 PM,2025,Fraud,Fraud,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports fraudulent transaction.,Active,250449,26787,,,,,,,,,,,,
23,"September 25, 2025",09/27/2025 at 11:49 AM,09/25/2025 at 11:00 AM,2025,Larceny,Larceny,Athletic Complex,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250447,26763,,,,,,,,,,,,
23,"September 22, 2025",09/22/2025 at 2:42 PM,09/22/2025 at 11:20 AM,2025,Motor Vehicle Theft,Stolen Vehicle,McMillan Hall,McMillan Hall,"McMillan Hall, Washington University in St. Louis, MO",Complainant reports theft of electric bike.,Active,250438,26758,,,,,,,,,,,,
23,"September 20, 2025",09/22/2025 at 11:57 AM,09/20/2025 at 12:01 AM,2025,Larceny,Larceny,Koenig Dorm,Koenig Dorm,"Koenig House, Washington University in St. Louis, MO",Complainant reports theft of clothes.,Inactive,250437,26756,,,,,,,,,,,,
23,"September 18, 2025",09/18/2025 at 11:19 PM,09/18/2025 at 11:11 PM,2025,Property Destruction,Property Destruction,Snow Way Garage,Snow Way Garage,"Snow Way Garage, Washington University in St. Louis, MO",Subject broke gate arm.,Active,250428,26739,,,,,,,,,,,,
23,"September 18, 2025",09/18/2025 at 8:59 PM,09/18/2025 at 8:59 PM,2025,Larceny,Larceny,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of tech equipment.,Active,250427,26737,,,,,,,,,,,,
23,"September 18, 2025",09/18/2025 at 4:21 PM,09/18/2025 at 4:21 PM,2025,Larceny,Larceny,Brauer Hall,Brauer Hall,"Brauer Hall, Washington University in St. Louis, MO",Complainant reports theft of purse.,Active,250425,26733,,,,,,,,,,,,
24,"September 18, 2025",09/18/2025 at 5:19 PM,09/18/2025 at 8:30 AM,2025,Larceny,Larceny,Brookings Hall,Brookings Hall,"Brookings Hall, Washington University in St. Louis, MO",Complainant reports theft of backpack.,Active,250426,26735,,,,,,,,,,,,
24,"September 16, 2025",09/22/2025 at 9:49 AM,09/16/2025 at 12:50 PM,2025,Larceny,Larceny,McMillan Hall,McMillan Hall,"McMillan Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250436,26754,,,,,,,,,,,,
24,"September 16, 2025",09/16/2025 at 11:33 AM,09/16/2025 at 11:33 AM,2025,Motor Vehicle Theft,Stolen Vehicle,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of motor vehicle.,Closed,250424,26731,,,,,,,,,,,,
24,"September 14, 2025",09/15/2025 at 12:30 PM,09/14/2025 at 5:30 PM,2025,Larceny,Larceny,Lopata House,Lopata House,"Lopata House, Washington University in St. Louis, MO",Complainant reports theft of clothing.,Inactive,250417,26729,,,,,,,,,,,,
24,"September 7, 2025",09/07/2025 at 1:57 PM,09/07/2025 at 1:12 PM,2025,Property Destruction,Property Destruction,East End Garage,East End Garage,"East End Garage, Washington University in St. Louis, MO",Subject broke gate arm.,Inactive,250396,26558,,,,,,,,,,,,
24,"September 6, 2025",09/15/2025 at 11:03 AM,09/06/2025 at 5:30 PM,2025,Fraud,Fraud,Francis Field,Francis Field,"Francis Field, Washington University in St. Louis, MO",Complainant reports counterfeit currency.,Active,250416,26727,,,,,,,,,,,,
24,"September 5, 2025",09/06/2025 at 2:50 PM,09/05/2025 at 1:30 PM,2025,Larceny,Larceny,Village House,Village House,"Village House, Washington University in St. Louis, MO",Complainant reports theft of clothes.,Inactive,250393,26540,,,,,,,,,,,,
24,"September 4, 2025",09/05/2025 at 4:28 PM,09/04/2025 at 7:00 PM,2025,Motor Vehicle Theft,Stolen Vehicle,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Active,250391,26538,,,,,,,,,,,,
24,"September 3, 2025",09/03/2025 at 2:47 PM,09/03/2025 at 11:30 AM,2025,Larceny,Larceny,Brauer Hall,Brauer Hall,"Brauer Hall, Washington University in St. Louis, MO",Complainant reports theft of a bag.,Active,250386,26523,,,,,,,,,,,,
24,"August 28, 2025",08/28/2025 at 7:03 AM,08/28/2025 at 7:03 AM,2025,Trespass,Trespassing,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250370,26464,,,,,,,,,,,,
25,"August 27, 2025",08/28/2025 at 4:46 PM,08/27/2025 at 5:00 PM,2025,Larceny,Larceny,Lien Hall,Lien Hall,"Lien Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250371,26466,,,,,,,,,,,,
25,"August 25, 2025",09/03/2025 at 10:19 AM,08/25/2025 at 6:06 PM,2025,Fraud,Fraud,Simon Lot,Simon Parking Lot,"Simon Hall, Washington University in St. Louis, MO",Complainant reports fraudulent exchange of goods.,Active,250385,26521,,,,,,,,,,,,
25,"August 23, 2025",08/23/2025 at 7:37 PM,08/23/2025 at 7:37 PM,2025,Trespass,Trespassing,Jolley Hall,Jolley Hall,"Jolley Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250361,26426,,,,,,,,,,,,
25,"August 22, 2025",08/29/2025 at 6:14 PM,08/22/2025 at 7:00 PM,2025,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of bag.,Exceptional Clearance,250374,26468,,,,,,,,,,,,
25,"August 20, 2025",08/20/2025 at 9:57 AM,08/20/2025 at 9:57 AM,2025,Trespass,Trespassing,Knight Exec,Knight Center,"Knight Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250350,26400,,,,,,,,,,,,
25,"August 18, 2025",08/18/2025 at 7:59 PM,08/18/2025 at 7:59 PM,2025,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250347,26375,,,,,,,,,,,,
25,"August 16, 2025",08/17/2025 at 2:33 PM,08/16/2025 at 1:50 PM,2025,Larceny,Larceny,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of personal property from a vehicle.,Active,250344,26373,,,,,,,,,,,,
25,"August 16, 2025",08/16/2025 at 8:02 PM,08/16/2025 at 8:30 AM,2025,Larceny,Larceny,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of bike.,Inactive,250342,26349,,,,,,,,,,,,
25,"August 11, 2025",08/22/2025 at 5:23 PM,08/11/2025 at 12:00 PM,2025,Larceny,Larceny,AB Law,Anheuser-Busch Hall,"Anheuser-Busch Hall (Law School), Washington University in St. Louis, MO",Complainant reports theft of a bike.,Inactive,250355,26402,,,,,,,,,,,,
25,"August 7, 2025",08/04/2025 at 4:14 PM,08/07/2025 at 11:45 AM,2025,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of phone.,Active; Property Recovered,250327,26340,,,,,,,,,,,,
26,"August 1, 2025",12/07/2025 at 4:40 PM,08/01/2025 at 4:40 PM,2025,Larceny,Larceny,Village House,Village House,"Village House, Washington University in St. Louis, MO",Complainant reports theft of a bike.,Inactive,250568,27134,,,,,,,,,,,,
26,"July 27, 2025",07/27/2025 at 10:59 AM,07/27/2025 at 10:44 AM,2025,Property Destruction,Property Destruction,Millbrook Garage,Millbrook Garage,"Millbrook Garage, Washington University in St. Louis, MO",Subject broke gate arm.,Inactive,250320,26324,,,,,,,,,,,,
26,"July 17, 2025",07/17/2025 at 8:15 AM,07/17/2025 at 8:10 AM,2025,Trespass,Trespassing,Charles F. Knight Exec Ed,Charles F Knight Exec Ed,"Charles F Knight Exec Ed, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250309,26316,,,,,,,,,,,,
26,"July 14, 2025",07/14/2025 at 3:23 PM,07/14/2025 at 2:16 PM,2025,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of bike.,Active,250307,26303,,,,,,,,,,,,
26,"June 27, 2025",06/27/2025 at 11:09 PM,06/27/2025 at 11:02 PM,2025,Property Destruction,Property Destruction,East End Garage,East End Garage,"East End Garage, Washington University in St. Louis, MO",Subject broke gate arm.,Inactive,250296,26257,,,,,,,,,,,,
26,"June 27, 2025",06/27/2025 at 2:51 PM,06/27/2025 at 9:02 AM,2025,Larceny,Larceny,Seigle Hall,Seigle Hall,"Seigle Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Cleared By Arrest,250295,26259,,,,,,,,,,,,
26,"June 27, 2025",10/02/2025 at 12:40 PM,06/27/2025 at 9:00 AM,2025,Larceny,Larceny,Ridgely Hall,Ridgely Hall,"Ridgely Hall, Washington University in St. Louis, MO",Complainant reports theft of computer equipment.,Active,250461,26840,,,,,,,,,,,,
26,"June 22, 2025",06/23/2025 at 2:25 PM,06/22/2025 at 11:15 AM,2025,Fraud,Fraud,Athletic Complex,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports fraudulent transaction.,Active,250289,26236,,,,,,,,,,,,
26,"June 21, 2025",06/21/2025 at 10:52 PM,06/21/2025 at 10:52 PM,2025,Trespass,Trespassing,Goldfarb Hall,Goldfarb Hall,"Goldfarb Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250288,26234,,,,,,,,,,,,
26,"June 17, 2025",06/19/2025 at 2:46 PM,06/17/2025 at 2:46 PM,2025,Larceny,Larceny,McKelvey Hall,McKelvey Hall,"McKelvey Hall, Washington University in St. Louis, MO",Complainant reports theft of computer equipment.,Active,250286,26229,,,,,,,,,,,,
27,"June 16, 2025",06/16/2025 at 4:39 PM,06/16/2025 at 4:35 PM,2025,Trespass,Trespassing,Kemper Art,Mildred Lane Kemper Art,"Kemper Art Museum, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Active,250282,26217,,,,,,,,,,,,
27,"June 10, 2025",06/10/2025 at 10:35 PM,06/10/2025 at 10:00 AM,2025,Larceny,Larceny,Sumers Rec Center,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of money.,Inactive,250280,26213,,,,,,,,,,,,
27,"June 5, 2025",06/05/2025 at 10:20 PM,06/05/2025 at 7:00 PM,2025,Larceny,Larceny,AB Law,Anheuser-Busch Hall,"Anheuser-Busch Hall (Law School), Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250278,26210,,,,,,,,,,,,
27,"June 5, 2025",06/05/2025 at 3:26 PM,06/05/2025 at 9:08 AM,2025,Larceny,Larceny,Jolley Hall,Jolley Hall,"Jolley Hall, Washington University in St. Louis, MO",Complainant reports theft of construction equipment.,Active; Property Recovered,250277,26208,,,,,,,,,,,,
27,"June 4, 2025",06/04/2025 at 9:17 AM,06/04/2025 at 9:17 AM,2025,Harassment,Harassment,Knight Center,Knight Center,"Knight Center, Washington University in St. Louis, MO",Complainant reports concerning communication.,Active,250276,26201,,,,,,,,,,,,
27,"June 3, 2025",06/03/2025 at 6:01 PM,06/03/2025 at 4:36 PM,2025,Larceny,Larceny,Athletic Complex,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250275,26203,,,,,,,,,,,,
27,"June 2, 2025",06/02/2025 at 11:56 AM,06/02/2025 at 11:56 AM,2025,Trespass,Trespassing,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250273,26195,,,,,,,,,,,,
27,"May 31, 2025",05/31/2025 at 8:37 AM,05/31/2025 at 8:37 AM,2025,Trespass,Trespassing,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250271,26171,,,,,,,,,,,,
27,"May 26, 2025",05/26/2025 at 11:31 PM,05/26/2025 at 10:53 PM,2025,Trespass,Trespassing,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Active,250267,26153,,,,,,,,,,,,
27,"May 25, 2025",05/26/2025 at 4:04 PM,05/25/2025 at 12:30 PM,2025,Larceny,Larceny,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of bike wheel.,Inactive,250266,26151,,,,,,,,,,,,
28,"May 22, 2025",05/22/2025 at 7:17 AM,05/22/2025 at 7:10 AM,2025,Trespass,Trespassing,McKelvey Hall,McKelvey Hall,"McKelvey Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Active,250265,26146,,,,,,,,,,,,
28,"May 14, 2025",08/11/2025 at 5:22 PM,05/14/2025 at 12:00 AM,2025,Motor Vehicle Theft,Stolen Vehicle,Lopata House,Lopata House,"Lopata House, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Inactive,250330,26347,,,,,,,,,,,,
28,"May 13, 2025",05/13/2025 at 12:56 PM,05/13/2025 at 12:56 PM,2025,Trespass,Trespassing,McKelvey Hall,McKelvey Hall,"McKelvey Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250258,17838,,,,,,,,,,,,
28,"May 12, 2025",11/07/2025 at 11:02 AM,05/12/2025 at 3:00 PM,2025,Larceny,Larceny,Frat House 4,Fraternity Row,"Fraternity Way, St. Louis, MO 63105",Complainant reports theft of speakers.,Active,250525,26984,,,,,,,,,,,,
28,"May 9, 2025",05/09/2025 at 1:02 PM,05/09/2025 at 1:02 PM,2025,Trespass,Trespassing,Tisch,Tisch Commons,"Tisch Commons, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250248,17681,,,,,,,,,,,,
28,"May 8, 2025",05/08/2025 at 9:30 AM,05/08/2025 at 9:30 AM,2025,Trespass,Trespassing,Bryan Hall,Bryan Hall,"Bryan Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250240,17679,,,,,,,,,,,,
28,"May 6, 2025",05/07/2025 at 2:42 AM,05/06/2025 at 9:45 PM,2025,Larceny,Larceny,Shanedling Dorm,Shanedling Dorm,"Shanedling Hall, Washington University in St. Louis, MO",Complainant reports theft of personal items.,Closed; Property Recovered,250235,17650,,,,,,,,,,,,
28,"May 6, 2025",05/12/2025 at 12:46 PM,05/06/2025 at 9:00 AM,2025,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of bike.,Active,250255,17836,,,,,,,,,,,,
28,"May 5, 2025",05/05/2025 at 4:20 PM,05/05/2025 at 4:05 PM,2025,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250232,17644,,,,,,,,,,,,
28,"May 5, 2025",05/05/2025 at 7:38 AM,05/05/2025 at 7:38 AM,2025,Trespass,Trespassing,Jolley Hall,Jolley Hall,"Jolley Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250230,17642,,,,,,,,,,,,
29,"April 30, 2025",05/01/2025 at 12:13 AM,04/30/2025 at 7:26 PM,2025,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of electronic equipment.,Active,250227,17613,,,,,,,,,,,,
29,"April 29, 2025",04/29/2025 at 2:29 PM,04/29/2025 at 2:00 PM,2025,Larceny,Larceny,Jolley Hall,Jolley Hall,"Jolley Hall, Washington University in St. Louis, MO",Complainant reports theft of electronics.,Cleared By Arrest,250222,17578,,,,,,,,,,,,
29,"April 26, 2025",04/28/2025 at 6:53 PM,04/26/2025 at 4:43 PM,2025,Motor Vehicle Theft,Stolen Vehicle,Millbrook,Millbrook,"6926 Forest Park Pkwy, University City, MO 63130",Complainant reports theft of electric scooter.,Active,250218,17551,,,,,,,,,,,,
29,"April 25, 2025",04/25/2025 at 10:18 PM,04/25/2025 at 10:18 PM,2025,Trespass,Trespassing,Mudd Field,Mudd Field,"Mudd Field, Washington University in St. Louis, MO",Subject with WUSTL affiliation located on campus with unauthorized access.,Cleared By Arrest,250210,17545,,,,,,,,,,,,
29,"April 25, 2025",04/25/2025 at 10:20 PM,04/25/2025 at 9:30 PM,2025,Sexual Assault,Sexual Assault,Mudd Field,Mudd Field,"Mudd Field, Washington University in St. Louis, MO",Complainant reports non-consensual incident.,Referred to Judicial,250213,17549,,,,,,,,,,,,
29,"April 25, 2025",04/25/2025 at 11:00 PM,04/25/2025 at 9:20 PM,2025,Simple Assault,Assault,Mudd Field,Mudd Field,"Mudd Field, Washington University in St. Louis, MO",Disturbance resulted in assault.,Referred to Judicial,250211,17547,,,,,,,,,,,,
29,"April 24, 2025",05/05/2025 at 4:48 PM,04/24/2025 at 4:48 PM,2025,Larceny,Larceny,Liggett Dorm,Liggett Dorm,"Liggett Dorm, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250233,17646,,,,,,,,,,,,
29,"April 24, 2025",04/24/2025 at 4:41 PM,04/24/2025 at 4:00 PM,2025,Trespass,Trespassing,Facilities,Facilities,"1 Brookings Dr, St. Louis, MO 63130",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250199,17523,,,,,,,,,,,,
29,"April 24, 2025",04/24/2025 at 4:56 PM,04/24/2025 at 1:00 PM,2025,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of headphones.,Inactive,250205,17542,,,,,,,,,,,,
29,"April 24, 2025",04/24/2025 at 12:39 PM,04/24/2025 at 7:30 AM,2025,Larceny,Larceny,Bayer Hall,Bayer Hall,"Bayer Hall, Washington University in St. Louis, MO",Complainant reports theft of backpack.,Inactive,250202,17540,,,,,,,,,,,,
30,"April 18, 2025",04/25/2025 at 11:34 AM,04/18/2025 at 6:40 PM,2025,Property Destruction,Property Destruction,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports paint damage.,Inactive,250208,17538,,,,,,,,,,,,
30,"April 16, 2025",04/16/2025 at 7:07 PM,04/16/2025 at 7:00 PM,2025,Trespass,Trespassing,Gregg Hall,Gregg Hall,"Gregg Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250185,17471,,,,,,,,,,,,
30,"April 16, 2025",04/22/2025 at 12:27 PM,04/16/2025 at 12:27 PM,2025,Larceny,Larceny,Crow Hall,Crow Hall,"Crow Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250194,17517,,,,,,,,,,,,
30,"April 16, 2025",04/17/2025 at 3:17 PM,04/16/2025 at 8:50 AM,2025,Fraud,Fraud,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports fraudulent wire transaction.,Active,250187,17473,,,,,,,,,,,,
30,"April 16, 2025",04/16/2025 at 8:02 AM,04/16/2025 at 8:02 AM,2025,Harassment,Harassment,North Brookings,North Brookings,"North Brookings Hall, Washington University in St. Louis, MO",Complainant reports concerning communication.,Active,250183,17469,,,,,,,,,,,,
30,"April 15, 2025",04/15/2025 at 3:07 PM,04/15/2025 at 2:30 PM,2025,Larceny,Larceny,276 Skinker,276 Skinker,"276 SKinker, St. Louis, MO",Complainant reports theft of electronic equipment.,Inactive,250181,17467,,,,,,,,,,,,
30,"April 15, 2025",04/15/2025 at 3:00 PM,04/15/2025 at 12:00 AM,2025,Harassment,Harassment,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Complainant reports concerning contact.,Active,250180,17465,,,,,,,,,,,,
30,"April 13, 2025",04/13/2025 at 11:59 AM,04/13/2025 at 11:45 AM,2025,Trespass,Trespassing,Dauten Dorm,Dauten Dorm,"Dauten Hall, Washington University in St. Louis, MO",Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250178,17461,,,,,,,,,,,,
30,"April 12, 2025",04/12/2025 at 2:07 PM,04/12/2025 at 1:52 PM,2025,Harassment,Harassment,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports concerning communication.,Active,250175,17441,,,,,,,,,,,,
30,"April 12, 2025",04/14/2025 at 8:59 PM,04/12/2025 at 9:00 AM,2025,Larceny,Larceny,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of money.,Active,250195,17515,,,,,,,,,,,,
31,"April 10, 2025",04/11/2025 at 12:05 PM,04/10/2025 at 10:00 AM,2025,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of money.,Active,250173,17437,,,,,,,,,,,,
31,"April 10, 2025",04/11/2025 at 12:05 PM,04/10/2025 at 10:00 AM,2025,Fraud,Fraud,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports fraudulent transaction.,Active,250173,17439,,,,,,,,,,,,
31,"April 7, 2025",04/08/2025 at 3:49 PM,04/07/2025 at 2:50 PM,2025,Harassment,Harassment,Wilson Hall,Wilson Hall,"Wilson Hall, Washington University in St. Louis, MO",Complainant reports concerning contact.,Closed,250166,17431,,,,,,,,,,,,
31,"April 7, 2025",04/07/2025 at 9:44 AM,04/07/2025 at 9:44 AM,2025,Trespass,Trespassing,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Active,250163,17427,,,,,,,,,,,,
31,"April 6, 2025",04/06/2025 at 4:30 PM,04/06/2025 at 4:30 PM,2025,Trespass,Trespassing,Forsyth Blvd,Forsyth Blvd,"Forsyth Blvd, St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250158,17402,,,,,,,,,,,,
31,"April 6, 2025",04/06/2025 at 4:27 PM,04/06/2025 at 4:20 PM,2025,Weapons Law Violation,Weapons Law Violation,Mallinckrodt Center,Mallinckrodt Center,"Mallinckrodt Center, Washington University in St. Louis, MO",Subject in possession of a firearm located on campus.,Cleared By Arrest,250159,17404,,,,,,,,,,,,
31,"April 2, 2025",04/02/2025 at 3:59 PM,04/02/2025 at 9:41 AM,2025,Larceny,Larceny,McMillan Hall,McMillan Hall,"McMillan Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,250151,17400,,,,,,,,,,,,
31,"April 2, 2025",05/09/2025 at 3:06 PM,04/02/2025 at 2:55 AM,2025,Property Destruction,Property Destruction,Rosedale Court Apartments,Rosedale Court Apartments,"Rosedale Court Apartments, Washington University in St. Louis, MO",Complainant reports damage to electronic equipment.,Active,250249,17840,,,,,,,,,,,,
31,"April 1, 2025",04/01/2025 at 9:35 AM,04/01/2025 at 9:35 AM,2025,Trespass,Trespassing,Knight Center,Knight Center,"Knight Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250150,17358,,,,,,,,,,,,
31,"March 29, 2025",03/29/2025 at 1:21 AM,03/29/2025 at 1:21 AM,2025,Sexual Assault,Sexual Assault,Richmond Heights,Richmond Heights,"Richmond Heights, MO",Complainant reports non-consensual incident.,Active,250143,17345,,,,,,,,,,,,
32,"March 28, 2025",03/29/2025 at 11:44 AM,03/28/2025 at 9:50 PM,2025,Property Destruction,Property Destruction,Fraternity Row,Fraternity Row,"Fraternity Way, St. Louis, MO 63105",Complainant reports damage to vehicle equipment.,Active,250144,17348,,,,,,,,,,,,
32,"March 23, 2025",03/24/2025 at 6:46 PM,03/23/2025 at 2:50 PM,2025,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of bike.,Active,250135,17323,,,,,,,,,,,,
32,"March 21, 2025",03/24/2025 at 7:27 PM,03/21/2025 at 9:00 PM,2025,Larceny,Larceny,Park House Dorm,Park House Dorm,"Park House Dorm, Washington University in St. Louis, MO",Complainant reports theft of bike.,Inactive,250141,17341,,,,,,,,,,,,
32,"March 20, 2025",03/20/2025 at 2:37 PM,03/20/2025 at 2:37 AM,2025,Trespass,Trespassing,Women's Building,Women's Building,"Women's Building, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250130,17318,,,,,,,,,,,,
