Page,Date,Time_Reported,Time_Occurred,Incident_Type,Location,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,,,,,
14,"February 15, 2026",02/16/2026 at 10:37 AM,02/15/2026 at 10:00 AM,Fraud,Seigle Hall,Complainant reports extortion through social media.,Inactive,260063,27543,,,,,,,,,,,,,,,,
14,"February 14, 2026",02/14/2026 at 6:06 PM,02/14/2026 at 6:06 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260058,27541,,,,,,,,,,,,,,,,
14,"February 14, 2026",02/14/2026 at 12:05 AM,02/14/2026 at 12:05 AM,Larceny,Bears Den,Complainant reports theft of personal items.,Inactive,260055,27537,,,,,,,,,,,,,,,,
14,"February 13, 2026",02/13/2026 at 8:14 AM,02/13/2026 at 8:10 AM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260052,27534,,,,,,,,,,,,,,,,
14,"February 11, 2026",02/11/2026 at 9:46 PM,02/11/2026 at 9:46 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260051,27512,,,,,,,,,,,,,,,,
14,"February 10, 2026",02/11/2026 at 5:07 PM,02/10/2026 at 1:30 PM,Larceny,Lofts,Assisted SLMPD with a larceny.,Referred to SLMPD,260050,27510,,,,,,,,,,,,,,,,
14,"February 9, 2026",05/02/2026 at 1:30 PM,02/09/2026 at 12:00 AM,Larceny,Mudd Dorm,Complainant reports theft of bike.,Active,260189,27882,,,,,,,,,,,,,,,,
14,"February 8, 2026",02/08/2026 at 2:31 AM,02/08/2026 at 2:00 PM,Larceny,Gregg House,Complainant reports theft of clothes.,Property Recovered; Closed,260046,27491,,,,,,,,,,,,,,,,
15,"February 7, 2026",02/07/2026 at 1:15 PM,02/07/2026 at 1:10 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared,260044,27469,,,,,,,,,,,,,,,,
15,"February 6, 2026",02/06/2026 at 11:14 PM,02/06/2026 at 11:17 PM,Fraud,Debaliviere Pl,Assisted SLMPD with a fraud.,Referred to SLMPD,26-02-06-005188,27480,,,,,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 3:36 PM,02/05/2026 at 3:36 PM,Sexual Assault,East End Garage,Complainant reports non-consensual incident.,Inactive,260042,27466,,,,,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 10:51 AM,02/05/2026 at 10:51 AM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260041,27436,,,,,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 8:01 AM,02/05/2026 at 8:01 AM,Trespass,West Campus,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260039,27434,,,,,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 7:16 AM,02/05/2026 at 7:16 AM,Trespass,Olin Library,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260040,27439,,,,,,,,,,,,,,,,
15,"January 30, 2026",01/30/2026 at 12:28 AM,01/30/2026 at 12:28 AM,Motor Vehicle Theft (Attempt),Lofts,Assisted SLMPD with attempted motor vehicle theft.,Referred to SLMPD,26-01-30-003961,27410,,,,,,,,,,,,,,,,
15,"January 29, 2026",01/29/2026 at 6:51 PM,01/29/2026 at 6:51 PM,Fraud,Delmar Blvd,Assisted UCPD with a fraud.,Referred to UCPD,26-01-29-003922,27407,,,,,,,,,,,,,,,,
15,"January 28, 2026",01/28/2026 at 10:46 AM,01/28/2026 at 10:46 AM,Larceny,Bears Den,Complainant reports theft of shoes.,Active,260031,27417,,,,,,,,,,,,,,,,
15,"January 24, 2026",01/29/2026 at 1:27 PM,01/24/2026 at 8:00 AM,Auto Accident – Leave The Scene,East End Garage,Complainant reports leaving the scene of an auto accident.,Active,260032,27475,,,,,,,,,,,,,,,,
16,"January 24, 2026",01/24/2026 at 2:34 AM,01/24/2026 at 2:34 AM,Fraud,Clayton,Complainant reports fraudulent transaction.,Referred to UCPD,26-01-24-003150,27398,,,,,,,,,,,,,,,,
16,"January 24, 2026",01/24/2026 at 1:52 AM,01/24/2026 at 1:11 AM,Harassment,Hitzeman Hall,Complainant reports threatening communication.,Active,260028,27396,,,,,,,,,,,,,,,,
16,"January 21, 2026",01/21/2026 at 8:14 PM,01/21/2026 at 8:14 PM,Simple Assault,Lien Hall,Disturbance resulted in assault.,Active,260025,27405,,,,,,,,,,,,,,,,
16,"January 21, 2026",01/21/2026 at 5:24 PM,01/21/2026 at 5:24 PM,Weapons Violation,Olin Library,Subject located in possession of weapons.,Cleared By Arrest,260023,27493,,,,,,,,,,,,,,,,
16,"January 19, 2026",01/19/2026 at 4:51 PM,01/19/2026 at 11:53 AM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260016,27362,,,,,,,,,,,,,,,,
16,"January 17, 2026",01/17/2026 at 8:29 PM,01/17/2026 at 8:00 PM,Larceny,Sumers Rec,Complainant reports theft of shoes.,Active,260014,27360,,,,,,,,,,,,,,,,
16,"January 17, 2026",01/17/2026 at 12:14 AM,01/17/2026 at 12:14 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,26-01-17-002137,27367,,,,,,,,,,,,,,,,
16,"January 16, 2026",01/17/2026 at 12:26 PM,01/16/2026 at 9:52 PM,Larceny,Mallinckrodt Center,Complainant reports theft of money.,Inactive,260013,27358,,,,,,,,,,,,,,,,
16,"January 16, 2026",01/16/2026 at 8:41 PM,01/16/2026 at 9:00 AM,Larceny,Koenig Dorm,Complainant reports theft of bike.,Inactive,260012,27356,,,,,,,,,,,,,,,,
16,"January 15, 2026",01/15/2026 at 12:54 PM,01/15/2026 at 12:54 PM,Larceny,Village House,Complainant reports theft of scooter.,Inactive,260010,27354,,,,,,,,,,,,,,,,
17,"January 14, 2026",01/14/2026 at 1:31 PM,01/14/2026 at 1:31 PM,Larceny,Waterman Blvd,Assisted SLMPD with a larceny.,Referred to SLMPD,26-01-14-001690,27339,,,,,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 3:27 PM,01/12/2026 at 3:27 PM,Larceny,Washington Ave,Assisted UCPD with a larceny.,Referred to UCPD,26-01-12-001360,27619,,,,,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 12:46 PM,01/12/2026 at 12:46 PM,Larceny,Shepley House,Complainant reports theft of bike.,Inactive,260009,27329,,,,,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 10:59 AM,01/12/2026 at 10:59 AM,Larceny,McPherson Ave,Assisted SLMPD with a larceny.,Referred to SLMPD,26-01-12-001320,27331,,,,,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 6:17 AM,01/12/2026 at 6:17 AM,Trespass,Quadrangle,Subject with no WASHU affiliation located.,Exceptional Clearance,26-01-12-001286,28066,,,,,,,,,,,,,,,,
17,"January 9, 2026",01/09/2026 at 3:59 PM,01/09/2026 at 3:59 PM,Larceny,Delmar Blvd,Assisted SLMPD with a larceny.,Referred to SLMPD,26-01-09-001039,27327,,,,,,,,,,,,,,,,
17,"January 9, 2026",01/09/2026 at 2:22 PM,01/09/2026 at 11:22 AM,Harassment,AB Law,Complainant reports concerning communication.,Active,260004,27316,,,,,,,,,,,,,,,,
17,"January 9, 2026",01/16/2026 at 6:12 PM,01/09/2026 at 12:00 AM,Burglary,McPherson Ave,Assisted SLMPD with a burglary.,Referred to SLMPD,26-01-16-002093,27365,,,,,,,,,,,,,,,,
17,"January 8, 2026",01/08/2026 at 2:08 PM,01/08/2026 at 2:04 PM,Property Destruction,Forsyth Blvd,Assisted Clayton PD with a property destruction.,Referred to Clayton PD,26-01-08-000897,27324,,,,,,,,,,,,,,,,
17,"January 6, 2026",01/06/2026 at 2:40 PM,01/06/2026 at 2:40 PM,Larceny,Sumers Rec,Complainant reports stolen money.,Inactive,260001,27280,,,,,,,,,,,,,,,,
18,"January 5, 2026",01/05/2026 at 3:48 PM,01/05/2026 at 3:48 PM,Fraud,Saint Louis,Assisted SLMPD with a fraud.,Referred to SLMPD,26-01-05-000521,27258,,,,,,,,,,,,,,,,
18,"December 30, 2025",12/30/2025 at 6:00 PM,12/30/2025 at 6:00 PM,Larceny,Pershing Avenue,Assisted SLMPD with a larceny.,Referred to SLMPD,25-12-30-043609,27250,,,,,,,,,,,,,,,,
18,"December 27, 2025",09/04/2026 at 3:40 PM,12/27/2025 at 4:00 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Pending,260322,28601,,,,,,,,,,,,,,,,
18,"December 25, 2025",12/25/2025 at 5:13 PM,12/25/2025 at 5:10 PM,Simple Assault,Knight Center,Disturbance resulted in assault.,Active,250586,27246,,,,,,,,,,,,,,,,
18,"December 22, 2025",12/22/2025 at 10:45 PM,12/22/2025 at 10:45 PM,Aggravated Assault,Forsyth Blvd,Assisted UCPD with an aggravated assault.,Referred to UCPD,25-12-22-042756,27218,,,,,,,,,,,,,,,,
18,"December 19, 2025",12/19/2025 at 10:40 AM,12/19/2025 at 10:40 AM,Property Destruction,Cates Ave,Assisted UCPD with a property destruction.,Referred to UCPD,25-12-19-042309,27215,,,,,,,,,,,,,,,,
18,"December 19, 2025",01/09/2026 at 4:40 PM,12/19/2025 at 8:00 AM,Larceny,Park House,Complainant reports theft of bike.,Inactive,260005,27319,,,,,,,,,,,,,,,,
18,"December 18, 2025",01/09/2026 at 4:47 PM,12/18/2025 at 9:00 AM,Larceny,Danforth House,Complainant reports theft of bike.,Inactive,260006,27322,,,,,,,,,,,,,,,,
18,"December 16, 2025",12/16/2025 at 6:45 PM,12/16/2025 at 6:45 PM,Trespass,Skinker Blvd,Assist SLMPD with a trespass.,Referred to SLMPD,25-12-16-041813,27203,,,,,,,,,,,,,,,,
18,"December 16, 2025",12/16/2025 at 1:19 PM,12/16/2025 at 12:00 PM,Larceny,AB Law,Complainant reports theft of clothing.,Inactive,250579,27205,,,,,,,,,,,,,,,,
19,"December 16, 2025",12/16/2025 at 4:47 AM,12/16/2025 at 3:11 AM,Harassment,AB Law,Complainant reports concerning communication.,Active,250577,27201,,,,,,,,,,,,,,,,
19,"December 15, 2025",12/30/2025 at 8:32 PM,12/15/2025 at 8:32 PM,Fraud,Danforth Campus,Complainant reports fraudulent wire transaction.,Inactive,250589,27253,,,,,,,,,,,,,,,,
19,"December 15, 2025",12/15/2025 at 11:33 AM,12/15/2025 at 11:33 AM,Larceny,Olin Library,Complainant reports theft of camera equipment.,Inactive,250575,27199,,,,,,,,,,,,,,,,
19,"December 14, 2025",12/14/2025 at 6:37 PM,12/14/2025 at 5:09 PM,Property Destruction,Givens Hall,Complainant reports a broken window pane.,Referred to Judicial,250574,27189,,,,,,,,,,,,,,,,
19,"December 6, 2025",12/06/2025 at 6:42 PM,12/06/2025 at 6:42 PM,Larceny,Kingsbury Blvd,Assisted UCPD with a larceny from a vehicle.,Referred to UCPD,25-12-06-040151,27136,,,,,,,,,,,,,,,,
19,"December 6, 2025",12/06/2025 at 1:38 PM,12/06/2025 at 1:38 PM,Property Destruction,Simon Hall,Complainant reports damage to office.,Active,250566,27132,,,,,,,,,,,,,,,,
19,"December 6, 2025",12/06/2025 at 10:50 PM,12/06/2025 at 10:50 AM,Burglary,Waterman Blvd,Assist SLMPD with a burglary.,Referred to SLMPD,25-12-06-040174,27140,,,,,,,,,,,,,,,,
19,"December 6, 2025",12/15/2025 at 1:02 PM,12/06/2025 at 8:29 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,250578,27207,,,,,,,,,,,,,,,,
19,"December 6, 2025",12/06/2025 at 8:50 AM,12/06/2025 at 8:00 AM,Fraud,Lien Hall,Complainant reports extortion through social media.,Active,250565,27130,,,,,,,,,,,,,,,,
19,"December 6, 2025",12/06/2025 at 3:38 AM,12/06/2025 at 3:38 AM,Trespass,Seigle Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250564,27128,,,,,,,,,,,,,,,,
20,"December 4, 2025",12/04/2025 at 6:27 PM,12/04/2025 at 6:27 PM,Larceny,Forest Park,Assist UCPD with a larceny from a vehicle.,Referred to SLMPD,25-12-04-039862,27138,,,,,,,,,,,,,,,,
20,"December 3, 2025",12/03/2025 at 6:40 PM,12/03/2025 at 6:40 PM,Auto Accident – Leave The Scene,Washington Blvd,Assisted SLMPD with an auto accident.,Referred to SLMPD,25-12-03-039695,27124,,,,,,,,,,,,,,,,
20,"December 3, 2025",12/03/2025 at 9:11 AM,12/03/2025 at 9:11 AM,Auto Accident – Leave The Scene,Skinker Blvd,Assisted SLMPD with an auto accident.,Referred to SLMPD,25-12-03-039627,27122,,,,,,,,,,,,,,,,
20,"November 26, 2025",11/26/2025 at 6:24 PM,11/26/2025 at 6:24 PM,Trespass,Hillman Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250553,27112,,,,,,,,,,,,,,,,
20,"November 25, 2025",11/25/2025 at 10:23 AM,11/25/2025 at 10:23 AM,Disorderly Conduct,Olin Library,Complainant reports inappropriate filming in a bathroom.,Cleared By Arrest,250552,27110,,,,,,,,,,,,,,,,
20,"November 23, 2025",11/23/2025 at 8:40 PM,11/23/2025 at 8:40 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250551,27101,,,,,,,,,,,,,,,,
20,"November 19, 2025",11/20/2025 at 6:22 PM,11/19/2025 at 2:00 PM,Larceny,Bayer Hall,Complainant reports theft of bike.,Inactive,250550,27099,,,,,,,,,,,,,,,,
20,"November 19, 2025",11/19/2025 at 5:13 PM,11/19/2025 at 10:00 AM,Motor Vehicle Theft,Seigle Hall,Complainant reports theft of an electric bike.,Active,250549,27086,,,,,,,,,,,,,,,,
20,"November 15, 2025",11/15/2025 at 1:21 PM,11/15/2025 at 1:21 PM,Trespass,Village House,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250543,27042,,,,,,,,,,,,,,,,
20,"November 12, 2025",11/13/2025 at 12:54 PM,11/12/2025 at 9:00 AM,Larceny,AB Law,Complainant reports theft of bike.,Active,250538,27028,,,,,,,,,,,,,,,,
21,"November 11, 2025",11/14/2025 at 10:15 AM,11/11/2025 at 10:30 PM,Larceny,DUC,Complainant reports theft of consumable goods.,Inactive,250545,27079,,,,,,,,,,,,,,,,
21,"November 11, 2025",11/12/2025 at 3:08 PM,11/11/2025 at 7:00 PM,Larceny,Sumers Rec,Complainant reports theft of credit cards.,Inactive,250535,27006,,,,,,,,,,,,,,,,
21,"November 7, 2025",11/07/2025 at 4:15 PM,11/07/2025 at 4:15 PM,Trespass,Brauer Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250529,26988,,,,,,,,,,,,,,,,
21,"November 7, 2025",11/07/2025 at 3:07 PM,11/07/2025 at 3:07 PM,Fraud,Danforth Campus,Complainant reports fraudulent use of meal points.,Active,250528,26986,,,,,,,,,,,,,,,,
21,"November 2, 2025",11/02/2025 at 10:31 PM,11/02/2025 at 12:57 AM,Property Destruction,Snow Way Garage,Subject broke gate arm.,Referred to Judicial,250515,26970,,,,,,,,,,,,,,,,
21,"November 1, 2025",11/02/2025 at 2:33 PM,11/01/2025 at 5:30 PM,Motor Vehicle Theft,Mudd Field,Complainant reports theft of electric scooter.,Inactive,250516,26972,,,,,,,,,,,,,,,,
21,"October 31, 2025",10/31/2025 at 7:41 PM,10/31/2025 at 4:00 PM,Disorderly Conduct,Mallinckrodt Center,Complainant reports indecent exposure.,Cleared By Arrest,250512,26976,,,,,,,,,,,,,,,,
21,"October 31, 2025",10/31/2025 at 3:11 PM,10/31/2025 at 12:00 PM,Fraud,Danforth Campus,Complainant reports fraudulent use of rewards program.,Active,250511,26924,,,,,,,,,,,,,,,,
21,"October 31, 2025",10/31/2025 at 8:27 AM,10/31/2025 at 8:27 AM,Trespass,Charles F Knight Exec Ed,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250510,26922,,,,,,,,,,,,,,,,
21,"October 25, 2025",10/25/2025 at 9:21 AM,10/25/2025 at 6:00 AM,Property Destruction,Snow Way Garage,Subject broke gate arm.,Referred to Judicial,250503,26918,,,,,,,,,,,,,,,,
22,"October 24, 2025",10/24/2025 at 10:23 PM,10/24/2025 at 10:18 PM,Property Destruction,Millbrook Garage,Subject broke gate arm.,Active,250500,26916,,,,,,,,,,,,,,,,
22,"October 17, 2025",10/17/2025 at 7:14 PM,10/17/2025 at 5:45 PM,Larceny,South 40,Complainant reports theft of food.,Inactive,250483,26889,,,,,,,,,,,,,,,,
22,"October 14, 2025",10/14/2025 at 9:24 AM,10/14/2025 at 9:24 AM,Larceny,Knight Center,Complainant reports theft of personal items.,Active,250478,26887,,,,,,,,,,,,,,,,
22,"October 11, 2025",10/11/2025 at 3:10 AM,10/11/2025 at 12:49 AM,Property Destruction,Snow Way Garage,Subject broke gate arm.,Referred to Judicial,250475,26850,,,,,,,,,,,,,,,,
22,"October 10, 2025",10/10/2025 at 6:56 PM,10/10/2025 at 6:56 PM,Trespass,McKelvey Hall,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250471,26852,,,,,,,,,,,,,,,,
22,"October 8, 2025",10/08/2025 at 6:52 PM,10/08/2025 at 6:52 PM,Larceny,Bears Den,Complainant reports theft of shoes.,Inactive,250467,26848,,,,,,,,,,,,,,,,
22,"October 3, 2025",11/03/2025 at 12:32 PM,10/03/2025 at 12:00 PM,Larceny,Bears Den,Complainant reports theft of food.,Inactive,250519,26974,,,,,,,,,,,,,,,,
22,"October 1, 2025",10/01/2025 at 1:02 PM,10/01/2025 at 1:02 PM,Larceny,Bears Den,Complainant reports theft of money.,Inactive,250458,26834,,,,,,,,,,,,,,,,
22,"October 1, 2025",10/01/2025 at 8:32 AM,10/01/2025 at 2:32 AM,Motor Vehicle Theft,Lee Dorm,Complainant reports theft of electric scooter.,Referred To Judicial,250460,26838,,,,,,,,,,,,,,,,
22,"September 29, 2025",09/29/2025 at 3:53 PM,09/29/2025 at 1:00 PM,Larceny,Village East,Complainant reports theft of bike.,Inactive,250459,26836,,,,,,,,,,,,,,,,
23,"September 28, 2025",09/28/2025 at 8:01 PM,09/28/2025 at 5:20 PM,Larceny,Brauer Hall,Complainant reports theft of financial instruments.,Active,250450,26789,,,,,,,,,,,,,,,,
23,"September 28, 2025",09/29/2025 at 3:19 PM,09/28/2025 at 3:30 PM,Larceny,Brauer Hall,Complainant reports theft of wallet.,Active,250452,26792,,,,,,,,,,,,,,,,
23,"September 26, 2025",09/26/2025 at 7:51 PM,09/26/2025 at 6:40 PM,Sexual Assault,DUC,Complainant reports non-consensual incident.,Closed,250446,26761,,,,,,,,,,,,,,,,
23,"September 25, 2025",09/28/2025 at 1:36 PM,09/25/2025 at 12:00 PM,Fraud,Olin Library,Complainant reports fraudulent transaction.,Active,250449,26787,,,,,,,,,,,,,,,,
23,"September 25, 2025",09/27/2025 at 11:49 AM,09/25/2025 at 11:00 AM,Larceny,Athletic Complex,Complainant reports theft of bike.,Active,250447,26763,,,,,,,,,,,,,,,,
23,"September 22, 2025",09/22/2025 at 2:42 PM,09/22/2025 at 11:20 AM,Motor Vehicle Theft,McMillan Hall,Complainant reports theft of electric bike.,Active,250438,26758,,,,,,,,,,,,,,,,
23,"September 20, 2025",09/22/2025 at 11:57 AM,09/20/2025 at 12:01 AM,Larceny,Koenig Dorm,Complainant reports theft of clothes.,Inactive,250437,26756,,,,,,,,,,,,,,,,
23,"September 18, 2025",09/18/2025 at 11:19 PM,09/18/2025 at 11:11 PM,Property Destruction,Snow Way Garage,Subject broke gate arm.,Active,250428,26739,,,,,,,,,,,,,,,,
23,"September 18, 2025",09/18/2025 at 8:59 PM,09/18/2025 at 8:59 PM,Larceny,Sumers Rec,Complainant reports theft of tech equipment.,Active,250427,26737,,,,,,,,,,,,,,,,
23,"September 18, 2025",09/18/2025 at 4:21 PM,09/18/2025 at 4:21 PM,Larceny,Brauer Hall,Complainant reports theft of purse.,Active,250425,26733,,,,,,,,,,,,,,,,
24,"September 18, 2025",09/18/2025 at 5:19 PM,09/18/2025 at 8:30 AM,Larceny,Brookings Hall,Complainant reports theft of backpack.,Active,250426,26735,,,,,,,,,,,,,,,,
24,"September 16, 2025",09/22/2025 at 9:49 AM,09/16/2025 at 12:50 PM,Larceny,McMillan Hall,Complainant reports theft of bike.,Active,250436,26754,,,,,,,,,,,,,,,,
24,"September 16, 2025",09/16/2025 at 11:33 AM,09/16/2025 at 11:33 AM,Motor Vehicle Theft,DUC,Complainant reports theft of motor vehicle.,Closed,250424,26731,,,,,,,,,,,,,,,,
24,"September 14, 2025",09/15/2025 at 12:30 PM,09/14/2025 at 5:30 PM,Larceny,Lopata House,Complainant reports theft of clothing.,Inactive,250417,26729,,,,,,,,,,,,,,,,
24,"September 7, 2025",09/07/2025 at 1:57 PM,09/07/2025 at 1:12 PM,Property Destruction,East End Garage,Subject broke gate arm.,Inactive,250396,26558,,,,,,,,,,,,,,,,
24,"September 6, 2025",09/15/2025 at 11:03 AM,09/06/2025 at 5:30 PM,Fraud,Francis Field,Complainant reports counterfeit currency.,Active,250416,26727,,,,,,,,,,,,,,,,
24,"September 5, 2025",09/06/2025 at 2:50 PM,09/05/2025 at 1:30 PM,Larceny,Village House,Complainant reports theft of clothes.,Inactive,250393,26540,,,,,,,,,,,,,,,,
24,"September 4, 2025",09/05/2025 at 4:28 PM,09/04/2025 at 7:00 PM,Motor Vehicle Theft,DUC,Complainant reports theft of electric scooter.,Active,250391,26538,,,,,,,,,,,,,,,,
24,"September 3, 2025",09/03/2025 at 2:47 PM,09/03/2025 at 11:30 AM,Larceny,Brauer Hall,Complainant reports theft of a bag.,Active,250386,26523,,,,,,,,,,,,,,,,
24,"August 28, 2025",08/28/2025 at 7:03 AM,08/28/2025 at 7:03 AM,Trespass,Olin Library,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250370,26464,,,,,,,,,,,,,,,,
25,"August 27, 2025",08/28/2025 at 4:46 PM,08/27/2025 at 5:00 PM,Larceny,Lien Hall,Complainant reports theft of bike.,Active,250371,26466,,,,,,,,,,,,,,,,
25,"August 25, 2025",09/03/2025 at 10:19 AM,08/25/2025 at 6:06 PM,Fraud,Simon Lot,Complainant reports fraudulent exchange of goods.,Active,250385,26521,,,,,,,,,,,,,,,,
25,"August 23, 2025",08/23/2025 at 7:37 PM,08/23/2025 at 7:37 PM,Trespass,Jolley Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250361,26426,,,,,,,,,,,,,,,,
25,"August 22, 2025",08/29/2025 at 6:14 PM,08/22/2025 at 7:00 PM,Larceny,Bears Den,Complainant reports theft of bag.,Exceptional Clearance,250374,26468,,,,,,,,,,,,,,,,
25,"August 20, 2025",08/20/2025 at 9:57 AM,08/20/2025 at 9:57 AM,Trespass,Knight Exec,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250350,26400,,,,,,,,,,,,,,,,
25,"August 18, 2025",08/18/2025 at 7:59 PM,08/18/2025 at 7:59 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250347,26375,,,,,,,,,,,,,,,,
25,"August 16, 2025",08/17/2025 at 2:33 PM,08/16/2025 at 1:50 PM,Larceny,DUC,Complainant reports theft of personal property from a vehicle.,Active,250344,26373,,,,,,,,,,,,,,,,
25,"August 16, 2025",08/16/2025 at 8:02 PM,08/16/2025 at 8:30 AM,Larceny,DUC,Complainant reports theft of bike.,Inactive,250342,26349,,,,,,,,,,,,,,,,
25,"August 11, 2025",08/22/2025 at 5:23 PM,08/11/2025 at 12:00 PM,Larceny,AB Law,Complainant reports theft of a bike.,Inactive,250355,26402,,,,,,,,,,,,,,,,
25,"August 7, 2025",08/04/2025 at 4:14 PM,08/07/2025 at 11:45 AM,Larceny,Olin Library,Complainant reports theft of phone.,Active; Property Recovered,250327,26340,,,,,,,,,,,,,,,,
26,"August 1, 2025",12/07/2025 at 4:40 PM,08/01/2025 at 4:40 PM,Larceny,Village House,Complainant reports theft of a bike.,Inactive,250568,27134,,,,,,,,,,,,,,,,
26,"July 27, 2025",07/27/2025 at 10:59 AM,07/27/2025 at 10:44 AM,Property Destruction,Millbrook Garage,Subject broke gate arm.,Inactive,250320,26324,,,,,,,,,,,,,,,,
26,"July 17, 2025",07/17/2025 at 8:15 AM,07/17/2025 at 8:10 AM,Trespass,Charles F. Knight Exec Ed,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250309,26316,,,,,,,,,,,,,,,,
26,"July 14, 2025",07/14/2025 at 3:23 PM,07/14/2025 at 2:16 PM,Larceny,Olin Library,Complainant reports theft of bike.,Active,250307,26303,,,,,,,,,,,,,,,,
26,"June 27, 2025",06/27/2025 at 11:09 PM,06/27/2025 at 11:02 PM,Property Destruction,East End Garage,Subject broke gate arm.,Inactive,250296,26257,,,,,,,,,,,,,,,,
26,"June 27, 2025",06/27/2025 at 2:51 PM,06/27/2025 at 9:02 AM,Larceny,Seigle Hall,Complainant reports theft of bike.,Cleared By Arrest,250295,26259,,,,,,,,,,,,,,,,
26,"June 27, 2025",10/02/2025 at 12:40 PM,06/27/2025 at 9:00 AM,Larceny,Ridgely Hall,Complainant reports theft of computer equipment.,Active,250461,26840,,,,,,,,,,,,,,,,
26,"June 22, 2025",06/23/2025 at 2:25 PM,06/22/2025 at 11:15 AM,Fraud,Athletic Complex,Complainant reports fraudulent transaction.,Active,250289,26236,,,,,,,,,,,,,,,,
26,"June 21, 2025",06/21/2025 at 10:52 PM,06/21/2025 at 10:52 PM,Trespass,Goldfarb Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250288,26234,,,,,,,,,,,,,,,,
26,"June 17, 2025",06/19/2025 at 2:46 PM,06/17/2025 at 2:46 PM,Larceny,McKelvey Hall,Complainant reports theft of computer equipment.,Active,250286,26229,,,,,,,,,,,,,,,,
27,"June 16, 2025",06/16/2025 at 4:39 PM,06/16/2025 at 4:35 PM,Trespass,Kemper Art,Subject with no WASHU affiliation located on campus.,Active,250282,26217,,,,,,,,,,,,,,,,
27,"June 10, 2025",06/10/2025 at 10:35 PM,06/10/2025 at 10:00 AM,Larceny,Sumers Rec Center,Complainant reports theft of money.,Inactive,250280,26213,,,,,,,,,,,,,,,,
27,"June 5, 2025",06/05/2025 at 10:20 PM,06/05/2025 at 7:00 PM,Larceny,AB Law,Complainant reports theft of bike.,Active,250278,26210,,,,,,,,,,,,,,,,
27,"June 5, 2025",06/05/2025 at 3:26 PM,06/05/2025 at 9:08 AM,Larceny,Jolley Hall,Complainant reports theft of construction equipment.,Active; Property Recovered,250277,26208,,,,,,,,,,,,,,,,
27,"June 4, 2025",06/04/2025 at 9:17 AM,06/04/2025 at 9:17 AM,Harassment,Knight Center,Complainant reports concerning communication.,Active,250276,26201,,,,,,,,,,,,,,,,
27,"June 3, 2025",06/03/2025 at 6:01 PM,06/03/2025 at 4:36 PM,Larceny,Athletic Complex,Complainant reports theft of bike.,Active,250275,26203,,,,,,,,,,,,,,,,
27,"June 2, 2025",06/02/2025 at 11:56 AM,06/02/2025 at 11:56 AM,Trespass,Hillman Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250273,26195,,,,,,,,,,,,,,,,
27,"May 31, 2025",05/31/2025 at 8:37 AM,05/31/2025 at 8:37 AM,Trespass,Hillman Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250271,26171,,,,,,,,,,,,,,,,
27,"May 26, 2025",05/26/2025 at 11:31 PM,05/26/2025 at 10:53 PM,Trespass,Hillman Hall,Subject with no WASHU affiliation located on campus.,Active,250267,26153,,,,,,,,,,,,,,,,
27,"May 25, 2025",05/26/2025 at 4:04 PM,05/25/2025 at 12:30 PM,Larceny,DUC,Complainant reports theft of bike wheel.,Inactive,250266,26151,,,,,,,,,,,,,,,,
